"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"374","AAM06","AAM","asee_shstep09",9,1,770,4,5,"Early"
"375","AAM06","AAM","asee_shstep11",11,0,1123,4,2,"Early"
"376","AAM06","AAM","asee_shstep13",13,0,817,4,0,"Early"
"377","AAM06","AAM","asee_shstep15",15,0,1228,4,4,"Early"
"378","AAM06","AAM","asee_shstep17",17,0,744,4,1,"Early"
"379","AAM06","AAM","asee_shstep05",5,1,914,5,2,"Early"
"380","AAM06","AAM","asee_shstep07",7,1,849,5,5,"Early"
"381","AAM06","AAM","asee_shstep09",9,1,980,5,0,"Early"
"382","AAM06","AAM","asee_shstep11",11,0,1026,5,3,"Early"
"383","AAM06","AAM","asee_shstep13",13,0,1004,5,6,"Early"
"384","AAM06","AAM","asee_shstep15",15,0,888,5,4,"Early"
"385","AAM06","AAM","asee_shstep17",17,0,902,5,1,"Early"
"386","AAM06","AAM","asee_shstep05",5,1,825,6,0,"Late"
"387","AAM06","AAM","asee_shstep07",7,1,780,6,6,"Late"
"388","AAM06","AAM","asee_shstep09",9,1,915,6,1,"Late"
"389","AAM06","AAM","asee_shstep11",11,0,664,6,3,"Late"
"390","AAM06","AAM","asee_shstep13",13,0,909,6,5,"Late"
"391","AAM06","AAM","asee_shstep15",15,0,671,6,4,"Late"
"392","AAM06","AAM","asee_shstep17",17,0,764,6,2,"Late"
"393","AAM06","AAM","asee_shstep05",5,1,691,7,6,"Late"
"394","AAM06","AAM","asee_shstep07",7,1,799,7,1,"Late"
"395","AAM06","AAM","asee_shstep09",9,1,692,7,5,"Late"
"396","AAM06","AAM","asee_shstep11",11,0,1198,7,3,"Late"
"397","AAM06","AAM","asee_shstep13",13,1,877,7,0,"Late"
"398","AAM06","AAM","asee_shstep15",15,0,859,7,4,"Late"
"399","AAM06","AAM","asee_shstep17",17,0,702,7,2,"Late"
"400","AAM06","AAM","asee_shstep05",5,1,693,8,6,"Late"
"401","AAM06","AAM","asee_shstep07",7,1,654,8,1,"Late"
"402","AAM06","AAM","asee_shstep09",9,0,393,8,2,"Late"
"403","AAM06","AAM","asee_shstep11",11,1,856,8,4,"Late"
"404","AAM06","AAM","asee_shstep13",13,1,583,8,5,"Late"
"405","AAM06","AAM","asee_shstep15",15,0,580,8,0,"Late"
"406","AAM06","AAM","asee_shstep17",17,0,783,8,3,"Late"
"407","AAM06","AAM","asee_shstep05",5,1,765,9,0,"Late"
"408","AAM06","AAM","asee_shstep07",7,1,685,9,5,"Late"
"409","AAM06","AAM","asee_shstep09",9,1,686,9,6,"Late"
"410","AAM06","AAM","asee_shstep11",11,1,533,9,1,"Late"
"411","AAM06","AAM","asee_shstep13",13,1,500,9,2,"Late"
"412","AAM06","AAM","asee_shstep15",15,0,673,9,4,"Late"
"413","AAM06","AAM","asee_shstep17",17,0,872,9,3,"Late"
"414","AAM06","AAM","asee_shstep05",5,1,813,10,6,"Late"
"415","AAM06","AAM","asee_shstep07",7,1,822,10,1,"Late"
"416","AAM06","AAM","asee_shstep09",9,1,705,10,2,"Late"
"417","AAM06","AAM","asee_shstep11",11,1,860,10,0,"Late"
"418","AAM06","AAM","asee_shstep13",13,0,929,10,5,"Late"
"419","AAM06","AAM","asee_shstep15",15,0,665,10,4,"Late"
"420","AAM06","AAM","asee_shstep17",17,0,692,10,3,"Late"
"561","AAM09","AAM","asee_shstep05",5,0,1846,1,4,"Early"
"562","AAM09","AAM","asee_shstep07",7,1,2706,1,6,"Early"
"563","AAM09","AAM","asee_shstep09",9,0,976,1,5,"Early"
"564","AAM09","AAM","asee_shstep11",11,0,1837,1,1,"Early"
"565","AAM09","AAM","asee_shstep13",13,0,2686,1,0,"Early"
"566","AAM09","AAM","asee_shstep15",15,0,1404,1,2,"Early"
"567","AAM09","AAM","asee_shstep17",17,0,1354,1,3,"Early"
"568","AAM09","AAM","asee_shstep05",5,1,1340,2,0,"Early"
"569","AAM09","AAM","asee_shstep07",7,1,3394,2,3,"Early"
"570","AAM09","AAM","asee_shstep09",9,0,800,2,1,"Early"
"571","AAM09","AAM","asee_shstep11",11,1,1146,2,4,"Early"
"572","AAM09","AAM","asee_shstep13",13,1,645,2,5,"Early"
"573","AAM09","AAM","asee_shstep15",15,1,1607,2,6,"Early"
"574","AAM09","AAM","asee_shstep17",17,0,1301,2,2,"Early"
"575","AAM09","AAM","asee_shstep05",5,1,1005,3,4,"Early"
"576","AAM09","AAM","asee_shstep07",7,1,712,3,2,"Early"
"577","AAM09","AAM","asee_shstep09",9,1,1571,3,5,"Early"
"578","AAM09","AAM","asee_shstep11",11,1,805,3,6,"Early"
"579","AAM09","AAM","asee_shstep13",13,0,961,3,0,"Early"
"580","AAM09","AAM","asee_shstep15",15,0,1770,3,1,"Early"
"581","AAM09","AAM","asee_shstep17",17,0,885,3,3,"Early"
"582","AAM09","AAM","asee_shstep05",5,1,745,4,1,"Early"
"583","AAM09","AAM","asee_shstep07",7,1,587,4,3,"Early"
"584","AAM09","AAM","asee_shstep09",9,0,461,4,4,"Early"
"585","AAM09","AAM","asee_shstep11",11,1,739,4,6,"Early"
"586","AAM09","AAM","asee_shstep13",13,0,863,4,5,"Early"
"587","AAM09","AAM","asee_shstep15",15,0,595,4,2,"Early"
"588","AAM09","AAM","asee_shstep17",17,0,617,4,0,"Early"
"589","AAM09","AAM","asee_shstep05",5,1,806,5,4,"Early"
"590","AAM09","AAM","asee_shstep07",7,1,690,5,5,"Early"
"591","AAM09","AAM","asee_shstep09",9,1,1114,5,6,"Early"
"592","AAM09","AAM","asee_shstep11",11,1,639,5,2,"Early"
"593","AAM09","AAM","asee_shstep13",13,0,1469,5,0,"Early"
"594","AAM09","AAM","asee_shstep15",15,0,754,5,1,"Early"
"595","AAM09","AAM","asee_shstep17",17,0,770,5,3,"Early"
"596","AAM09","AAM","asee_shstep05",5,1,640,6,0,"Late"
"597","AAM09","AAM","asee_shstep07",7,1,1981,6,3,"Late"
"598","AAM09","AAM","asee_shstep09",9,1,2029,6,4,"Late"
"599","AAM09","AAM","asee_shstep11",11,1,647,6,1,"Late"
"600","AAM09","AAM","asee_shstep13",13,0,1342,6,6,"Late"
